nama,alamat,deskripsi,kategori
PT Solarion Energi Alam,"CNI Creative Centre (C3) Lantai 2, Jl. Puri Indah Raya No.1-3, RT.3/RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta",,Swasta Kecil
PT. Homeware International Indonesia,"Jl. Prambanan-Piyungan KM 3,5 Bokoharjo, Prambanan, Sleman, Yogyakarta, 55572",,Swasta Besar
Perusahaan Perseroan (Persero) Bank Negara Indonesia,JL. Raya Laswi No. 215 Majalaya,,Negeri
Geolyra Energi Internasional,"THE MANHATTAN SQUARE BUILDING MID TOWER 12TH FLOOR
JL. T.B. SIMATUPANG KAV. 1-S",,Swasta Kecil
Arkadia Sinergi Indonesia,"Pondok Indah Office Tower 2, 15th Floor, Jalan Sultan Iskandar Muda Kavling V-TA",,Swasta Kecil
Altimeda Cipta Visitama,PURI DEPOK MAS BLOK N NOMOR 3,,Swasta Kecil
Bank Negara Indonesia Kebumen,"Jalan Pahlawan No. 140 Kebumen, Jawa Tengah",,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,‎Jalan Pangeran Antasari No. 123 Kelurahan Raja Kecamatan Arut Selatan,,Negeri
PT. Sanbe Karyapersada,"Jl. Laksda Adisucipto No.38, Demangan, Gondokusuman, Yogyakarta",,Swasta Kecil
"PT. Bank Negara Indonesia (Persero) Tbk, Kantor Cabang Sorong",JALAN AHMAD YANI KLADEMAK 1 KOTA SORONG,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl.Prabu Geusan Ulun No.113 Sumedang,,Negeri
Geo Desain Nusantara,"Jl. Murai No. 11, Besi",,Swasta Kecil
Indi Teknokreasi Internasional,"Jl. Pahlawan Revolusi No. 01 RT.006 RW.007, PONDOK BAMBU, DUREN SAWIT, JAKARTA TIMUR",,Swasta Kecil
Perkebunan Nusantara I,Kantor Direksi; Jl. Urip Sumoharjo No. 72-76 Km. 4,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jalan Ahmad Yani No 57,,Negeri
PT Bank Negara Indonesia (Persero) Tbk Kantor Cabang Tanjungkarang,JL JEND SUDIRMAN KAV 1 JAKARTA PUSAT RT/RW 010/011 KEL KARET TENGSIN KEC TANAH ABANG KOTA ADMINISTRASI JAKARTA PUSAT,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,"Jl. Jatinegara Timur No.67 11 RT.11/RW.3, Bali Mester Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13310, Indonesia",,Negeri
Karunia Agung Cemerlang,KOMPLEK PERGUDANGAN OSOWILANGUN PERMAI BLOK C-4,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,JALAN TERMINAL PASAR BARU,,Negeri
Multi Anugrah Sonata,Jl. Swaramahardika No. 883,,Swasta Kecil
PT. Tokai Rika Indonesia,"Jln. Selayar III Blok I-9, Kawasan Industri MM2100, Desa Telajung, Cikarang Barat, Bekasi",,Swasta Besar
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Alun- Alun Timur  No.14 Jogoyudan Lumajang,,Negeri
Mandiri Maju Kelolatama,"JL.JEND.SUDIRMAN NO.1, MALL TANGERANG CITY, KEL.BABAKAN, KEC.TANGERANG, KOTA TANGERANG",,Swasta Kecil
Fatiha Sakti,Gedung Bina Sentra Bidakara Lantai 1 Unit 106 A Komplek Bidakara Kav 71-73 Jalan Jendral Gatot Subroto,,Swasta Kecil
Kapasitas Global Indonesia,Jalan Pramuka No.92 A,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl Ngurah Rai No. 48 Singaraja,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl Dr Sutomo No 32 Tebing Tinggi,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl Raya Batulicin no 170,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl Yos Sudarso No.033,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,JLN GAJAH MADA NO 87 KELURAHAN MADAWAT KECAMATAN ALOK KABUPATEN SIKKA MAUMERE NTT,,Negeri
PT. Toyo Denso Indonesia,"Kawasan Industri MM2100 Jl. Irian Blok KK12, Desa Jatiwangi, Keccamatan Cikarang Pusat, Kabupaten Bekasi",,Negeri
Sharp Electronics Indonesia,JL. HARAPAN RAYA LOT LL 1 & 2 KIIC SIRNABAYA - TELUK JAMBE TIMUR,,Swasta Kecil
PT Kharisma Pemasaran Bersama Nusantara,Jl. Cut Meutia No. 11 RT 13 RW 05 Cikini Menteng Jakarta Pusat 10330,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Said Perintah no.12,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl Ahmad Yani No.51,,Negeri
Puncak Mustika Bersama,,,Swasta Kecil
Subang,Jalan Otto Iskandardinata No. 11 Subang,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl.Urip Sumoharjo No.125 A,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,JL. LAMBUNG MANGKURAT NO. 31 BANJARMASIN,,Negeri
PT Mib Global Grup,"Treasury Tower, 31st Floor, Jl. Jend. Sudirman Kav. 52-53",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Jendral Sudirman No 1 Makassar,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,"JL. GUSTI HAMZAH NO 25
SAMBAS, KALIMANTAN BARAT",,Negeri
PT. Bank Negara Indonesia (Persero) Tbk . Kantor Cabang Mamuju,"Jl. Urip Sumoharjo No 125
Mamuju
Sulawesi Barat",,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. KH. Wachid Hasyim No. 94 Kepanjen Jombang,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Veteran No. 41,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. DR. Moh. Hatta No. 69,,Negeri
Bni Kantor Cabang Rengat,"Jl. Bupati Tulus No.17 B, Kel. Pasar Kota, Kec. Rengat, Kabupaten Indragiri Hulu, Provinsi Riau",,Negeri
PT Pertamina Power Indonesia,"Gedung Grha Pertamina, Tower Pertamax Lantai 12, Jl. Medan Merdeka Timur No. 11-13",,Swasta Besar
Perusahaan Perseroan (Persero) Bank Negara Indonesia,JLN. SUDIRMAN / JLN. M. BOYA,,Negeri
Expressindo System Network,"Taman Palem Lestari Ruko Galaxy Blok N No. 27 RT/RW. 013/008 Kel. Cengkareng Barat, Kec. Cengkareng , Jakarta Barat.",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,JL. Pemuda No.15A,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. A. Yani No. 60-62 Rantauprapat,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Ahmad Yani No. 15 . kel marga jaya. kota bekasi,,Negeri
Nazea Teknologi Indonesia,Jl. Bandar Purus No. 43,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jln. Gatot Subroto No. 351 Denpasar,,Negeri
Nadesico Nickel Industry,"Gd. Noble House Lt.37, Mega Kuningan No 2 Jl. DR.Ide Anak Agung Gde Agung Blok Kav E4.2",,Swasta Kecil
Trans Grosir Indonesia,Jl. Kalimalang No. 889 Bilimun Blok Q,,Swasta Kecil
Kantor Cabang Daan Mogot,"jalan daan mogot raya no 234, kedoya, kebon jeruk jakarta barat",,Swasta Kecil
Katiga Ritel Strengindo,Green Lake City Rukan Cordoba Blok A No. 8-9,,Swasta Kecil
Rhenus Logistics Indonesia,"18 Office Park Tower A Level 10 Unit 10J, TB Simatupang Nomor 18",,Swasta Kecil
"PT. Bank Negara Indonesia (Persero) Tbk, Kantor Cabang Jayapura","Jl. Frans Kaisepo, Ruko Pasifik Permai, Jayapura Papua",,Negeri
Ramayana Lestari Sentosa,"Ciplaz Cipanas, Jalan Raya Cipanas, Desa Cipanas dan Desa Sindanglaya",,Swasta Kecil
PT Wisma Nusantara International,Jl. M.H. Thamrin No.59 Jakarta Pusat,,Swasta Besar
PT Perusahaan Perseroan (Persero) PT. Perkebunan Nusantara Iii,"Gedung Agro Plaza, Jalan HR. Rasuna Said Kavling X2 Nomor 1, Kelurahan Kuningan Timur, Kecamatan Setiabudi, Kota Jakarta Selatan, Provinsi Daerah Khusus Ibukota (DKI) Jakarta, 12950, Desa/Kelurahan Kuningan Timur, Kec. Setiabudi, Kota Adm. Jakarta Selatan, Provinsi DKI Jakarta",,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. RA. Kartini No.51 Tanjung Karang Bandar Lampung,,Negeri
PT. Windu Nabatindo Lestari,Jl. Melawai Raya No. 10 Kebayoran Baru Jakarta,,Swasta Kecil
Inovasi Teknologi Kosmetika,ROYAL RESIDENCE CLUSTER HAREWOOD B9/38,,Swasta Kecil
Triputra Investindo Arya,"Menara Kadin Indonesia Lt.23
Jl. H.R. Rasuna Said Blok X-5 Kav.2-3",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Tuparev 301,,Negeri
Sari Ater,Jl. Lemah Neundeut No. 7,,Swasta Kecil
Dharma Controlcable Indonesia,"Jl.Tekno Industri kawasan Industri Jababeka VIII No.1 Blok A3, Cikarang Kota, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Letjen Suwarto No. 93,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,JL. SA MAULANA NO 19,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,JL. S. PARMAN KEL. PASAR BARU KEC. SIBOLGA KOTA,,Negeri
Hotel Mercure Padang,JL. PURUS IV NO. 8 PADANG,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Kebon Sirih No.51-53,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jln.Kyai Maja No.75-76 RT.015/RW.003 Kelurahan Gunung Kecamatan Kebayoran Baru Jakarta Selatan,,Negeri
PT. Bank Negara Indonesia (Persero) Tbk. Kantor Cabang Jepara,Jl. Pemuda No.11 A Jepara,,Negeri
Mitra Integrasi Informatika,"APL Tower Lantai 37 Suite 1 - 8, JL. Letnan Jenderal Siswondo Parman Kaveling 28",,Swasta Kecil
PT Taman Resor Internet (Tamarin),"Jalan Hang Lekiu KM 2, Teluk Mata Ikan, Kelurahan Sambau, Kecamatan Nongsa.",,Swasta Kecil
Bni Kantor Cabang Senayan,Jl. Jend. Gatot Subroto Kav. 55 Jakarta Pusat,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,"Jl. M.T. Haryono No. 1 Pinaesaan, Kec. Wenang, Kota Manado, Sulawesi Utara",,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Sumatera No.33,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Ahmad Yani Nom 18 Padang,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,JL. Pemuda No.15A Kebondalem Kab. Kendal,,Negeri
Gs Battery,"Jalan Surya Utama Kav. I.3,  Kawasan Industri Suryacipta",,Swasta Kecil
Ramayana Ciplaz Sidoarjo (Rb27),Jalan Diponegoro No 1-2 RW 05 Sidokumpul Kec Sidoarjo Jawa Timur,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,"Jl Boulevard Raya Blok LA. 6-7 No.1,2,3 Kelapa Gading Jakarta utara",,Negeri
Primus Pratama,"Alfa Tower 25 FloorJl. Jalur Sutera Barat Kav. 9 Alam SuteraTangerang 15143, Indonesia",,Swasta Kecil
PT. Gayawahana Inti,"Jl. Pangeran Jayakarta Kav. No.44, RT.7/RW.7, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Padjonga Dg. Ngalle No. 59 B-C,,Negeri
Plymilindo Perdana,"JL. Raya Gajah Tunggal, Ds. Pasir Jaya, Kec. Jatiuwung, Kota Tangerang - Banten",,Swasta Kecil
PT. Be Best International,JL. INDUSTRI RAYA BLOK D NO. 3A,,Swasta Besar
Perusahaan Perseroan (Persero) Bank Negara Indonesia,jalan letnan muchtar saleh no. 194,,Negeri
Robutech,JL. SEMOLOWARU SELATAN 5/25,,Swasta Kecil
PT Polychem Indonesia Tbk Plant Merak,"Jl. Raya Bojonegara, Ds. Mangunreja Kecamatan Pulo Ampel Kabupaten Serang, Banten",,Negeri
Agro Boga Utama,"Gedung Palma Tower Lt. 15
Jl  RA Kartini II - S Kav. 06 Sektor II",,Swasta Kecil
Cahaya Subarashi Indonesia,JL. GARUDA SAKTI KM 1,,Swasta Kecil
PT. Bank Negara Indonesia (Persero) Tbk Kantor Cabang Sumedang,JL. Prabu Geusan Ulun No. 113 Sumedang,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Diponegoro,,Negeri
Indonesia Nippon Seiki,Kawasan Industri Modern Cikande Blok E Desa Baengkok Kecamatan Kibin Kabupaten Serang,,Negeri
Gemilang Media Wisatama,"Jl. Magelang No.32-34, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl Ahmad Yani,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. A. Yani No.32,,Negeri
Bio Farma (Persero),Jalan Pasteur No. 28,,Swasta Kecil
Mulia Putri Lestari,Jl. Brigjen Dharsono No. 12C,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jalan Perak Timur nomor 490,,Negeri
Tritama Nusantara Haromain,JL. SIRAJUDDIN RANI. NO. 49,,Swasta Kecil
Sejati Jaya Tangerang,Jalan Beringin Raya Nomor 12,,Swasta Kecil
Perkebunan Nusantara Iv,"Gedung Agro Plaza, Jl. HR. Rasuna Said Kavling X2 No. 1",,Swasta Kecil
Rapid Plast Indonesia,"Jl.raya Surabaya -Malang KM.54
Ds.Lemahbang Kec.Sukorejo
Kab.Pasuruan",,Swasta Kecil
Ramayana Lestari Sentosa,"PLAZA TIMIKA, JALAN CENDRAWASIH 66 SP2",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,JL YETRO SINSENG NO 2D,,Negeri
Bni Kantor Cabang Garut,JL CILEDUG NO. 101 KEL. REGOL KEC GARUT KOTA KAB GARUT,,Swasta Kecil
PT Agrinas Palma Nusantara,"Jln. Biru Laut X Kavling 9, Cawang - Jakarta Timur 
Gedung HK Tower Lt. 9",,Swasta Kecil
Coday Megah Sentosa,"Jln. Ahmad Wahid no 172B Kalangan RT.07, Desa Baruretno, Kecamatan Banguntapan, Kabupaten Bantul",,Negeri
PT. Talenthub Digital Indonesia,"Jl. Jenderal Ahmad Yani Gedung Perkantoran Pulo Mas 1 Gedung 6 lt.2 No.4, Desa/Kelurahan Kayu Putih, Kec. Pulogadung, Kota Adm. Jakarta Timur, 
Provinsi DKI Jakarta 13210",,Negeri
Perishable Logistics Indonesia,TAMAN PALEM LESTARI RUKO GALAXY BLOK O2,,Swasta Kecil
Nenggapratama Mobilindo,JALAN KASUARI NO 44 KEL HELEDULAA SELATAN,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Roa Malaka Selatan No.23-25,,Negeri
Konsultan Wakaf Indonesia,JALAN KUSUMANEGARA NOMOR 284 B YOGYAKARTA,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. A. Yani no. 55 Panjunan Kudus,,Negeri
Kantor Cabang Tanjung Priok,"Jl. Samping Stasiun No. 1, Tanjung Priok, Jakarta Utara",,Swasta Kecil
Savali Agung Mulya,JL. HAYAM WURUK NOMOR 31,,Swasta Kecil
Depati Digital Media,"RT. 03, DESA SUNGAI TUTUNG",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,"Jl, Trans Sulawesi Kel Bantaya",,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Kapten Tendean No. 2,,Negeri
PT. Vortex Energy Batam,"Kawasan Industri Tunas Bizpark Blok D No. 16 Batam Center, Batam - Indonesia 29464",,Swasta Besar
Jakarta Intiland,"JL. KH WAHID HASYIM NO. 220 A-B, TANAH ABANG",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,"Jl. Sam Ratulangi No.12, Lingk. III",,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,"Jl. Kolonel Soetadji, RT. 11 RW. IV, No. 45",,Negeri
Roda Mas Auto Prima,"JL. MEDAN BINJAI KM. 7,8 NO. 297",,Swasta Kecil
Tridharma Adigraha,"JL. W.R. SUPRATMAN 3/4-22 A, SIRIMAU, AMBON",,Swasta Kecil
Salatiga,JL Jendral Sudirman No 3 Salatiga,,Swasta Kecil
Etana Biotechnologies Indonesia,Jl. Rawa Gelam V Blok L Kav 11-13 Kawasan Industri Pulogadung,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Imam Bonjol No.40,,Negeri
Bank Muamalat Indonesia,"Jl. AA Wahab Lingkungan Durian Kel. Hepuhulawa, Kec. Limboto Kab. Gorontolo",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl Jend Sudirman No.30,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,"JL. Sultan Iskandar Muda Kav V-TA Pondok Pinang Kebayaoran Lama, Jakarta Selatan 12310",,Negeri
PT Bank Negara Indonesia (Persero) Tbk Cabang Biak,JL Ahmad Yani No.14 Kab Biak Numfor,,Negeri
Ramayana Lestari Sentosa,JL. KH. WAHID HASYIM NO.220 A-B,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,kantor cabang Jl. Jend. Sudirman No.3,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,"Jl Margonda Raya, No. 48 Kemiri Muka, Kecamatan Beji, Kota Depok, Jawa Barat",,Negeri
Punca Media Digitala,Jalan Tarudan RT 01 RW 00 Bangunharjo  Sewon Bantul   Yogyakarta,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Jendral Sudirman No. 22 Kel Kuningan Kec. Kuningan,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Bupati Tulus No.17 B,,Negeri
PT.bank Negara Indonesia Kantor Cabang Kendari,Jl. DR Moh Hatta No. 69,,Negeri
Bni Kc Cilacap,JALAN A. YANI NO.32 CILACAP,,Swasta Kecil
Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930",,Swasta Kecil
Cybers Global Indonesia,"Jl. Jenderal Ahmad Yani Gedung Perkantoran pulo mas 1 gedung 5 lt 1 no 10, RT.3/RW.13, Kayu Putih, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13210",,Swasta Kecil
Vocasia Eduka Technology,"Gedung Pusat Perfilman Haji Usmar Ismail (PARFI), Jalan HR Rasuna Said V C22",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,"Jl. Gatot Subroto, No. 5, Kelurahan Mautapaga, Kecamatan Ende Timur",,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. R Suprpato no 89,,Negeri
PT Asuransi Jasa Indonesia,"GRAHA JASINDO, JL. MENTENG RAYA NO.21, RW.10, KB. SIRIH, KEC. MENTENG, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA",,Swasta Besar
Perusahaan Perseroan (Persero) Bank Negara Indonesia,"Jl. Jend. Sudirman No 120, Kelurahan Gedung Nasional, Kecamatan Taman Sari, Kota Pangkalpinang, Provinsi Kepulauan Bangka Belitung",,Negeri
Ramayana Lestari Sentosa,ROBINSON JATINEGARA (CIPLAZ JATINEGARA) JL MATRAMAN RAYA 173-175,,Swasta Kecil
Sinergi Gula Nusantara,"GRAHA NUSA TIGA, JL. PROKLAMASI NO. 25",,Swasta Kecil
PT Setia Mitra Tritunggal,jl. Colombo no 7 Catur Tunggal Depok Sleman,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,"Jl. Patrice Lumumba I No. 5, Kelurahan Wek IV",,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl HR Muhammad No 94 Surabaya,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,"Jalan Raya Jakarta Bogor Km 43 No 22, Kelurahan Pabuaran, Kecamatan Cibinong, Kabupaten Bogor.",,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Trikora No.20,,Negeri
Sarana Tamarin Power,"Jalan Hang Lekiu Km. 2, Teluk Mata Ikan",,Swasta Kecil
Accelist Lentera Indonesia,"BROOKLYN OFFICE TOWER B LANTAI 7 UNIT P, JL. ALAM SUTERA BOULEVARD",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Jababeka Raya Kav A. 1B,,Negeri
PT Pertamina (Persero),Jalan Medan Merdeka Timur No. 1A RT/RW 002/001 Kel. Gambir Kec. Gambir Kta Administrasi Jakarta Pusat,,Swasta Kecil
Puri Dharmawangsa Raya Hotel,"JL.DHARMAWANGSA RAYA NO. 39, KEL. PULO.",,Swasta Kecil
Asuransi Kerugian Jasa Raharja,"GEDUNG JASA RAHARJA, JL.H.R. RASUNA SAID KAV. C NO.2",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. A Yani No 253 Purworejo,,Negeri
Nusantara Building Industries,"Jl. Raya Semarang Demak km.17, Demak",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl Veteran 142,,Negeri
PT Bank Negara Indonesia (Persero).tbk (Kantor Cabang Palembang),Jl. Jend. Sudirman No.142 Palembang,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. HZ. Mustofa No. 110,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Usman Binol No. 36,,Negeri
Pacific Place Jakarta,Management Office Pacific Place Mall Level P1 SCBD - Jl. Jendral Sudirman Kav. 52 - 53 Kec. Kebayoran Baru Kel. Senayan - Jakarta Selatan 12190,,Swasta Kecil
Holopis Nusantara Media,"Gedung STC Senayan lantai 2 Ruang 89, Jl.Asia Afrika Pintu IX Gelora Senayan",,Swasta Kecil
Mss Hub Group Indonesia,Jalan Kirana Raya No 40-42,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,"Jl. Pangurakan d/h Jl. Trikora No.1 Ngupasan, Gondomanan, Kota Yogyakarta 55122",,Negeri
Lembaga Pendidikan Ori Computer,JALAN Kemiling Raya,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jalan Tamansari No 80,,Negeri
PT Bank Negara Indonesia (Persero) Tbk Kantor Cabang Pati,JL. Panglima Sudirman No.55 Pati,,Negeri
PT.pangeran Pekanbaru Hotel,JL.JEND.SUDIRMAN NO 371 - 373 PEKANBARU,,Swasta Kecil
Braja Mukti Cakra,JL.DESA HARAPAN KITA NOMOR 4,,Swasta Kecil
PT Sumber Alfaria Trijaya Tbk,"GEDUNG ALFA TOWER LANTAI 12 ; Jl, Jalur Sutera Barat Kav. 9, Alam Sutera, Kota Tangerang, Banten 15143.",,Swasta Besar
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Tanjungpura No. 1 Pontianak,,Negeri
PT Aeon Indonesia,"AEON Mall BSD City Unit M-02 Mezzanine Floor, Jl BSD Raya Utama Desa Pagedangan Kab. Tangerang",,Swasta Besar
Mahkota Group,"Komp. Grand Jati Junction Lantai 27, Jl. Perintis Kemerdekaan No. 3-A",,Swasta Kecil
PT Bank Negara Indonesia (Persero) Tbk Cabang Manokwari,JL YOS SUDARSO NO 11 MANOKWARI PAPUA BARAT,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Kramat Raya No.154-156,,Negeri
Bahari Karimah Soyo Berkah,"GD.GRAHA MAMPANG LT.3 SUITE 305, JL.MAMPANG PRAPATAN RAYA KAV.100",,Swasta Kecil
PT Reasuransi Indonesia Utama (Persero),"Jl. Salemba Raya, No. 30, Kenari, Senen, Kota Jakarta Pusat, DKI Jakarta",,Swasta Besar
Parama Pangan Papua,"Gedung Medco, Jl. Ampera Raya No. 18-20, KEL. Cilandak Timur, Pasar Minggu",,Swasta Kecil
Qodr Bee Berinovasi,Desa Mangunan,,Swasta Kecil
Pupuk Kalimantan Timur,"Jl. James Simandjuntak No. 1 Bontang 75313 Kalimantan Timur, Indonesia",,Swasta Kecil
PT Bank Rakyat Indonesia (Persero) Tbk,Gedung BRI Jl. Jenderal Sudirman Kav.44-46 Jakarta 10210 Indonesia,,Negeri
PT. Kabil Citranusa,KOMPLEKS CITRANUSA NIAGA BLOK B2 NO. 3 JALAN MAS SURYA NEGARA KABIL - BATAM,,Swasta Kecil
Net Visi Media,"MD Place Building, Tower I, 3rd Fl Setiabudi Selatan No. 7 Setiabudi, Jakarta Selatan, DKI Jakarta, 12910",,Swasta Kecil
PT. Kabil Indonusa Estate,"Komplek Citranusa Niaga Blok B2 No. 3, Jalan Mas Surya Negara - Kabil",,Swasta Kecil
